iter	RMSE
166	2400.724645
167	2400.720103
168	2400.698467
169	2399.745708
170	2399.7172
171	2399.700911
172	2399.70091
173	2399.700908
174	2399.694954
175	2399.694953
176	2399.694953
177	2399.694952
178	2399.657208
179	2399.652847
180	2396.789187
181	2382.299356
182	2382.295281
183	2382.290716
184	2382.286142
185	2382.241374
186	2369.087998
187	2368.45237
188	2368.452365
189	2367.329728
190	2367.329725
191	2361.738211
192	2360.578792
193	2353.799887
194	2353.76725
195	2353.767248
196	2353.677168
197	2352.13019
198	2352.116707
199	2352.116707
200	2344.428122
201	2344.290664
202	2343.46964
203	2341.395136
204	2341.37557
205	2339.280294
206	2338.454212
207	2338.454212
208	2337.455106
209	2333.895131
210	2333.89513
211	2333.414023
212	2332.936083
213	2332.233653
214	2332.233653
215	2332.233653
216	2331.596186
217	2330.220497
218	2329.938812
219	2327.256858
220	2327.255367
221	2327.255367
222	2326.877522
223	2325.014263
224	2325.014263
225	2324.567426
226	2324.230282
227	2324.230282
228	2314.795451
229	2314.794665
230	2314.794662
231	2312.836602
232	2308.305045
233	2307.541495
234	2305.294794
235	2298.476364
236	2298.459814
237	2296.015439
238	2296.007849
239	2295.150275
240	2295.124278
241	2295.119944
242	2295.119306
243	2294.540057
244	2294.534987
245	2294.534987
246	2294.534987
247	2294.534987
248	2294.522973
249	2292.981173
250	2292.385919
251	2291.420663
252	2290.226735
253	2289.80825
254	2289.80825
255	2289.490075
256	2287.229139
257	2287.007776
258	2287.007776
259	2286.998182
260	2285.725912
261	2281.895329
262	2277.396716
263	2276.004348
264	2276.004347
265	2276.004346
266	2274.864724
267	2273.151522
268	2273.150664
269	2267.431294
270	2267.274602
271	2266.793695
272	2264.210779
273	2264.210779
274	2264.210778
275	2264.210537
276	2264.210537
277	2264.209949
278	2263.16341
279	2262.231005
280	2262.086185
281	2260.466524
282	2260.466523
283	2240.339973
284	2240.229785
285	2240.215635
286	2239.218397
287	2237.865793
288	2236.91066
289	2236.910654
290	2236.724685
291	2236.708607
292	2236.708604
293	2236.659959
294	2236.647001
295	2235.387526
296	2235.387526
297	2235.387525
298	2235.387525
299	2235.387525
300	2235.382351
301	2231.378486
302	2229.836791
303	2229.611907
304	2216.10056
305	2213.176313
306	2213.171087
307	2213.162099
308	2213.032175
309	2212.143782
310	2210.966408
311	2210.411675
312	2209.41719
313	2209.416476
314	2209.416472
315	2204.835516
316	2204.803258
317	2204.631641
318	2204.576815
319	2203.623824
320	2203.444571
321	2203.405745
322	2203.405205
323	2203.050317
324	2202.905898
325	2202.67643
326	2201.469843
327	2201.469842
328	2200.250389
329	2200.119682
330	2200.119681
331	2200.029479
332	2199.647038
333	2199.408087
334	2196.338358
335	2196.290621
336	2195.136769
337	2192.799466
338	2191.95729
339	2191.95729
340	2191.957289
341	2191.957289
342	2189.727291
343	2182.170085
344	2182.170084
345	2181.457838
346	2181.343352
347	2180.632136
348	2180.356553
349	2178.924545
350	2176.919255
351	2176.917961
352	2176.916875
353	2176.916131
354	2176.75398
355	2175.95878
356	2175.95878
357	2175.95878
358	2174.821922
359	2174.814031
360	2174.549839
361	2174.549839
362	2174.020693
363	2173.177206
364	2173.177206
365	2172.859098
366	2172.859098
367	2172.652751
368	2172.626095
369	2172.626095
370	2171.129088
371	2171.129088
372	2171.129087
373	2171.066453
374	2171.066453
375	2171.042999
376	2170.990442
377	2169.92789
378	2166.677416
379	2166.670107
380	2166.670107
381	2166.670107
382	2166.244253
383	2161.102142
384	2161.096331
385	2161.094926
386	2161.065773
387	2161.065772
388	2161.065771
389	2161.036956
390	2161.029624
391	2161.029624
392	2160.987471
393	2160.987471
394	2160.986918
395	2160.986387
396	2160.986387
397	2160.050701
398	2159.327849
399	2159.327849
400	2159.228811
401	2159.0498
402	2159.037816
403	2159.037816
404	2157.989283
405	2157.989283
406	2156.151294
407	2156.151294
408	2155.529324
409	2155.489796
410	2155.489795
411	2155.419391
412	2153.93753
413	2153.47876
414	2153.47876
415	2153.456385
416	2153.456385
417	2153.456385
418	2153.454427
419	2153.44851
420	2153.441826
421	2153.403134
422	2148.424102
423	2148.424101
424	2145.355503
425	2145.284289
426	2144.656381
427	2144.656381
428	2144.652748
429	2141.683773
430	2141.680105
431	2141.587683
432	2141.398766
433	2141.398123
434	2141.398123
435	2141.394109
436	2141.394109
437	2141.394109
438	2140.601985
439	2140.601599
440	2140.599126
441	2140.504288
442	2140.504288
443	2140.504288
444	2140.458119
445	2140.458119
446	2140.458119
447	2140.458119
448	2140.456175
449	2140.434089
450	2140.42878
451	2140.088265
452	2140.088265
453	2139.922034
454	2139.921605
455	2139.921605
456	2138.300931
457	2137.879815
458	2137.664785
459	2137.664784
460	2137.664784
461	2137.446363
462	2137.430712
463	2137.421256
464	2137.421256
465	2137.195762
466	2137.174882
467	2137.170644
468	2136.696522
469	2135.621199
470	2135.621199
471	2135.618864
472	2135.08444
473	2135.080003
474	2135.035874
475	2135.030677
476	2133.826578
477	2133.826578
478	2133.826578
479	2133.826578
480	2132.702267
481	2132.702267
482	2132.694209
483	2132.694209
484	2132.693862
485	2132.237953
486	2128.765008
487	2128.764805
488	2128.764659
489	2128.602313
490	2127.149617
491	2127.149617
492	2127.149617
493	2127.128669
494	2127.128509
495	2126.484019
496	2126.484019
497	2126.484019
498	2126.042122
499	2124.561844
500	2124.141513
501	2124.141512
502	2122.866781
503	2122.517247
504	2122.514678
505	2122.206012
506	2122.20334
507	2120.86504
508	2120.864753
509	2120.864547
510	2120.756712
511	2120.667914
512	2120.574015
513	2120.574015
514	2120.515715
515	2120.471515
516	2120.471515
517	2119.540812
518	2119.540811
519	2118.68215
520	2118.680841
521	2118.680841
522	2118.675807
523	2118.675807
524	2118.010801
525	2118.006456
526	2118.006456
527	2118.006298
528	2118.006298
529	2117.934743
530	2117.926696
531	2117.926696
532	2117.926025
533	2117.926025
534	2117.925154
535	2114.588948
536	2114.588947
537	2114.494109
538	2114.494109
539	2114.494108
540	2114.494108
541	2114.494108
542	2114.494108
543	2114.483247
544	2114.444203
545	2114.371212
546	2114.369548
547	2114.278409
548	2114.278409
549	2113.393035
550	2113.393034
551	2113.389579
552	2111.822893
553	2111.822893
554	2111.822503
555	2111.822503
556	2111.822503
557	2111.822098
558	2111.822098
559	2110.872519
560	2110.741326
561	2110.741326
562	2110.712894
563	2110.712659
564	2110.710351
565	2110.710186
566	2110.707388
567	2110.707271
568	2110.707271
569	2110.607512
570	2110.541189
571	2110.541189
572	2110.462658
573	2110.399052
574	2110.241264
575	2110.240522
576	2110.235869
577	2108.946316
578	2108.882302
579	2108.882302
580	2108.515486
581	2108.515486
582	2108.515427
583	2108.515427
584	2108.515361
585	2108.515252
586	2108.515173
587	2108.515094
588	2108.515094
589	2108.515094
590	2108.477873
591	2107.233725
592	2107.190407
593	2107.073711
594	2107.072538
595	2106.881043
596	2106.801211
597	2105.947398
598	2105.947397
599	2105.677371
600	2105.493275
601	2105.493275
602	2105.478976
603	2105.478922
604	2104.532373
605	2104.531083
606	2104.247766
607	2104.247749
608	2104.246728
609	2104.246728
610	2104.246728
611	2104.246728
612	2104.246728
613	2104.246727
614	2104.206072
615	2104.206072
616	2103.148285
617	2103.140565
618	2103.140565
619	2103.140515
620	2101.827224
621	2101.757054
622	2101.757054
623	2101.70658
624	2101.705801
625	2101.295859
626	2101.247972
627	2101.247972
628	2101.240267
629	2100.989511
630	2100.989511
631	2098.622998
632	2098.299697
633	2098.240615
634	2098.210685
635	2098.210685
636	2098.133313
637	2098.133313
638	2098.125389
639	2097.671025
640	2097.670527
641	2097.670527
642	2097.670527
643	2097.669094
644	2097.668965
645	2097.532888
646	2097.532888
647	2097.531998
648	2097.531998
649	2097.390035
650	2097.385333
651	2097.38504
652	2097.384883
653	2097.04423
654	2096.60319
655	2096.603187
656	2096.603187
657	2096.603185
658	2095.7836
659	2095.7836
660	2095.782265
661	2094.559909
662	2093.747452
663	2092.483511
664	2092.42828
665	2092.427903
666	2092.137762
667	2091.954879
668	2091.47862
669	2090.338138
670	2086.356465
671	2086.351916
672	2086.351915
673	2086.351062
674	2086.283082
675	2086.283082
676	2085.971758
677	2085.971297
678	2085.971297
679	2085.921142
680	2085.921141
681	2085.921141
682	2085.794675
683	2085.794675
684	2085.794675
685	2085.787131
686	2085.787131
687	2085.521191
688	2085.52119
689	2085.52119
690	2085.518825
691	2085.439989
692	2085.439989
693	2085.389478
694	2085.085006
695	2085.07603
696	2085.07603
697	2083.781651
698	2083.78137
699	2083.684524
700	2083.635201
701	2083.635166
702	2083.365279
703	2083.365193
704	2081.149702
705	2081.149702
706	2081.10948
707	2080.563081
708	2080.228485
709	2080.133659
710	2080.119441
711	2080.111902
712	2080.111746
713	2080.111746
714	2079.995528
715	2072.92505
716	2072.910509
717	2072.907892
718	2072.856337
719	2071.376852
720	2069.822135
721	2068.946662
722	2068.932882
723	2068.163658
724	2068.161392
725	2068.154493
726	2068.154365
727	2068.154365
728	2068.154364
729	2068.154364
730	2068.024237
731	2068.012309
732	2068.012309
733	2068.012263
734	2067.791488
735	2067.776769
736	2067.712711
737	2067.712647
738	2067.712647
739	2066.012661
740	2065.79574
741	2065.364115
742	2065.215217
743	2064.624307
744	2063.675488
745	2063.675441
746	2063.469736
747	2063.469736
748	2063.394196
749	2063.394196
750	2063.389974
751	2063.389974
752	2063.372375
753	2063.372375
754	2063.372375
755	2063.084253
756	2063.037343
757	2063.037316
758	2062.64365
759	2062.577576
760	2062.577576
761	2062.146447
762	2062.146447
763	2062.143828
764	2062.143787
765	2062.143787
766	2054.347209
767	2054.346448
768	2054.278667
769	2052.471252
770	2048.220792
771	2048.201183
772	2044.512145
773	2044.512134
774	2044.504337
775	2044.504332
776	2044.020478
777	2044.020476
778	2042.383768
779	2042.379815
780	2042.044273
781	2042.044273
782	2042.041443
783	2042.035719
784	2042.035002
785	2042.034757
786	2041.580623
787	2041.243702
788	2041.243701
789	2041.072896
790	2041.069859
791	2041.056835
792	2041.053891
793	2041.053891
794	2041.05248
795	2039.046359
796	2038.992932
797	2038.992081
798	2038.992081
799	2038.99208
800	2038.99208
801	2038.99208
802	2038.882762
803	2038.880152
804	2038.879972
805	2038.247459
806	2038.247458
807	2038.245129
808	2037.848661
809	2037.529642
810	2037.264687
811	2037.188651
812	2037.188527
813	2037.188526
814	2037.188417
815	2037.188417
816	2037.186686
817	2037.186599
818	2037.18642
819	2037.18642
820	2037.002394
821	2036.989839
822	2036.964981
823	2036.964981
824	2036.963924
825	2036.91015
826	2036.839438
827	2036.635447
828	2036.548235
829	2036.548235
830	2036.548235
831	2036.548235
832	2036.51284
833	2036.51284
834	2036.512742
835	2036.512742
836	2036.445233
837	2036.445233
838	2036.445233
839	2035.472812
840	2035.472812
841	2035.470589
842	2035.437696
843	2035.376537
844	2035.341297
845	2035.341297
846	2035.341297
847	2035.340544
848	2035.229007
849	2035.229007
850	2033.948942
851	2033.53178
852	2032.678612
853	2032.678612
854	2032.678612
855	2032.455156
856	2032.455054
857	2032.455053
858	2032.441392
859	2032.441392
860	2029.65633
861	2029.656329
862	2028.67813
863	2028.678128
864	2028.672019
865	2028.378104
866	2028.378025
867	2028.252716
868	2028.252622
869	2028.252342
870	2028.228813
871	2027.937881
872	2027.868581
873	2027.868581
874	2026.616506
875	2026.576887
876	2026.576887
877	2026.576887
878	2026.576795
879	2026.576795
880	2026.576795
881	2026.167428
882	2025.993017
883	2025.957803
884	2025.957803
885	2025.944869
886	2025.94118
887	2025.791492
888	2025.790243
889	2025.790219
890	2025.776105
891	2025.776105
892	2025.739242
893	2025.739242
894	2025.739242
895	2025.569982
896	2025.56683
897	2025.56683
898	2025.5668
899	2024.954339
900	2024.937414
901	2024.937387
902	2024.835067
903	2024.835022
904	2024.6979
905	2024.681237
906	2024.680882
907	2024.680882
908	2024.396068
909	2023.542332
910	2023.541705
911	2023.295342
912	2023.278801
913	2023.182004
914	2023.182004
915	2022.817841
916	2022.717885
917	2022.717885
918	2021.626836
919	2021.626835
920	2021.542597
921	2021.542597
922	2021.433035
923	2021.35029
924	2021.350289
925	2021.350264
926	2021.344707
927	2018.181533
928	2018.131704
929	2018.128174
930	2018.128171
931	2017.678541
932	2017.67854
933	2017.678539
934	2017.678538
935	2017.369035
936	2017.358545
937	2017.341511
938	2016.816369
939	2016.607152
940	2016.607152
941	2016.524179
942	2016.524179
943	2016.499968
944	2016.495739
945	2016.357801
946	2016.179719
947	2016.178696
948	2016.178452
949	2016.178452
950	2016.17813
951	2016.17813
952	2016.158395
953	2016.107145
954	2016.106375
955	2015.592079
956	2015.543958
957	2015.543916
958	2015.543093
959	2015.543093
960	2015.515262
961	2015.514906
962	2015.506064
963	2015.506064
964	2015.253308
965	2015.113272
966	2015.112904
967	2015.112904
968	2015.112901
969	2015.112345
970	2014.870013
971	2014.870012
972	2014.867129
973	2014.705152
974	2014.584965
975	2014.584965
976	2014.17934
977	2014.170352
978	2013.845635
979	2013.845635
980	2013.780447
981	2013.532027
982	2013.531634
983	2013.063057
984	2013.062662
985	2013.059925
986	2012.930746
987	2012.928982
988	2012.928697
989	2012.928697
990	2012.928692
991	2012.917296
992	2012.917296
993	2012.870708
994	2012.870697
995	2012.827134
996	2012.821165
997	2011.831998
998	2011.831997
999	2011.831996
